stop_id,stop_code,stop_name,stop_lat,stop_lon
1800SJ01131,MANJMTAJ,Queens Road,53.44588369661,-2.35233130999
1800SJ01141,MANJMTAM,Urmston Library,53.44986182447,-2.35361402222
1800SJ01151,MANJMTAP,Urmston Library,53.45013111690,-2.35373672083
1800SJ01161,MANJMTAT,Moorside Road East,53.45335376117,-2.35516397588
1800SJ01171,MANJMTAW,Canterbury Road,53.45504096036,-2.35605150138
1800SJ01181,MANJMTDA,Davyhulme Circle,53.45691726667,-2.35682020506
1800SJ01191,MANJMTDG,Canterbury Road,53.45440431681,-2.35553416469
1800SJ01201,MANJMTDJ,Moorside Road,53.45189161984,-2.35415793004
1800SJ01211,MANJMTDM,Urmston Library,53.45003331566,-2.35337452758
1800SJ01221,MANJMTDP,Queens Road,53.44618912161,-2.35239406363
1800SJ01231,MANJMTDT,Ciss Lane,53.44642172327,-2.34662945632
1800SJ01241,MANJMTDW,Lodge Avenue,53.44673063341,-2.34237103133
1800SJ01251,MANJMTGA,Westwood Avenue,53.44672722785,-2.33725185260
1800SJ01261,MANJMTGD,Urmston Hotel,53.44586227132,-2.33156887745
1800SJ01271,MANJMTGJ,Urmston Hotel,53.44584500526,-2.33131279070
1800SJ01281,MANJMTGM,Firwood Avenue,53.44581073958,-2.32744313221
1800SJ01291,MANJMTGP,Sandy Lane,53.44506722212,-2.31987943215
1800SJ01301,MANJMTGT,Sandy Lane,53.44498721409,-2.31954760517
1800SJ01311,MANJMTGW,Robin Hood,53.44548280029,-2.31571207839
1800SJ01321,MANJMTJA,Robin Hood,53.44551266704,-2.31461322024
1800SJ01331,MANJMTJD,Derbyshire Lane,53.45136209425,-2.31540937939
1800SJ01341,MANJMTJG,Davyhulme Road,53.45352413624,-2.31699151855
1800SJ01351,MANJMTJM,Kellogg's,53.45657411030,-2.31928828069
1800SJ01361,MANJMTJP,Icopal,53.45769085829,-2.32182677790
1800SJ01371,MANJMTJT,The Furrows,53.45882561042,-2.32433542474
1800SJ01381,MANJMTJW,St Modwen Road,53.46117745519,-2.33201963246
1800SJ01391,MANJMTMA,St Modwen Road,53.46085231245,-2.32933617886
1800SJ01401,MANJMTMD,Brightgate Way,53.45949649654,-2.32553034759
1800SJ01411,MANJMTMG,The Furrows,53.45837079880,-2.32300663752
1800SJ01421,MANJMTMJ,Kellogg's,53.45695024972,-2.31980314231
1800SJ01431,MANJMTMP,Moss Park Road,53.44830498243,-2.31579324918
1800SJ01441,MANJMTMT,Derbyshire Lane,53.44977326323,-2.31459955720
1800SJ01461,MANJMTMW,Kellogg's,53.45711662611,-2.31808755418
1800SJ01471,MANJMTPA,Canal Bridge,53.45945455422,-2.31774358179
1800SJ01481,MANJMTPD,Westinghouse Road,53.46205258114,-2.31761237799
1800SJ01491,MANJMTPG,Textilose Road,53.46353574120,-2.32095221747
1800SJ01501,MANJMTPJ,Hattons Road,53.46515444971,-2.32399206738
1800SJ01531,MANJMTPW,Westinghouse Road,53.46173851049,-2.31741423090
1800SJ01541,MANJMTWA,Canal Bridge,53.45923935525,-2.31754618419
1800SJ01551,MANJMTWD,Kellogg's,53.45686563466,-2.31782965859
1800SJ01561,MANJMTWG,St Michael's,53.44200504527,-2.38019550095
1800SJ01581,MANJMTWM,Guiness Circle,53.47531029451,-2.32441600922
1800SJ01601,MANJMTWP,Ashburton Road West,53.47379241180,-2.33377541392
1800SJ01611,MANJMTWT,Ashburton Road West,53.47412586249,-2.33346164598
1800SJ01621,MANJMWAG,Trading Estateate,53.47545351430,-2.33118195578
1800SJ01631,MANJMWAJ,Guinness Circle,53.47645186942,-2.32769422781
1800SJ01641,MANJMWAM,Guinness Circle,53.47558831756,-2.32464412943
1800SJ01691,MANJMWAW,Mellors Road,53.47399544217,-2.31868090491
1800SJ01701,MANJMWDG,Lake Road,53.47267066320,-2.31660699899
1800SJ01711,MANJMWDJ,Carborundum,53.47094307827,-2.31388245188
1800SJ01721,MANJMWDM,Third Avenue,53.46886629796,-2.31061326120
